Marital status,Daytime/evening attendance,Nationality,course_name,Previous qualification,Mother's qualification,Father's qualification,Gender,Age at enrollment,enrollement_year,Number of semesters,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,1,15,Animation and Multimedia Design,1,13,10,1,20,2020,5,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,1,Tourism,1,1,3,1,19,2019,3,6,6,14,6,6,13.66666667,13.9,-0.3,0.79,Graduate
1,1,20,Communication Design,1,22,27,1,19,2018,5,6,0,0,6,0,0,10.8,1.4,1.74,Dropout
1,1,1,Journalism and Communication,1,23,27,0,20,2018,5,6,6,13.42857143,6,5,12.4,9.4,-0.8,-3.12,Graduate
2,0,21,Social Service (evening attendance),1,22,28,0,45,2021,3,6,5,12.33333333,6,6,13,13.9,-0.3,0.79,Graduate
2,0,1,Management (evening attendance),12,22,27,1,50,2022,5,5,5,11.85714286,5,5,11.5,16.2,0.3,-0.92,Graduate
1,1,5,Nursing,1,13,28,0,18,2020,5,7,7,13.3,8,8,14.345,15.5,2.8,-4.06,Graduate
1,1,1,Tourism,1,22,27,1,22,2018,3,5,0,0,5,0,0,15.5,2.8,-4.06,Dropout
1,1,14,Social Service,1,1,1,0,21,2019,5,6,6,13.875,6,6,14.14285714,16.2,0.3,-0.92,Graduate
1,1,1,Social Service,1,1,14,0,18,2021,5,6,5,11.4,6,2,13.5,8.9,1.4,3.51,Dropout
1,1,1,Advertising and Marketing Management,1,23,14,0,18,2022,3,6,6,12.33333333,6,5,14.2,13.9,-0.3,0.79,Graduate
1,1,13,Nursing,1,13,28,0,18,2020,3,8,7,13.21428571,8,7,13.21428571,12.7,3.7,-1.7,Graduate
1,1,1,Basic Education,1,13,27,0,19,2020,5,6,0,0,6,0,0,12.7,3.7,-1.7,Dropout
1,1,1,Tourism,16,1,1,0,21,2020,5,6,6,10.57142857,6,5,11,8.9,1.4,3.51,Graduate
1,1,1,Veterinary Nursing,1,23,27,0,18,2021,3,5,4,13.25,5,5,12,10.8,1.4,1.74,Graduate
1,1,17,Journalism and Communication,1,13,27,0,20,2022,5,6,5,13.2,6,0,0,15.5,2.8,-4.06,Dropout
1,1,1,Social Service,1,13,28,0,18,2019,3,6,1,12,6,2,11,10.8,1.4,1.74,Enrolled
1,1,1,Nursing,1,13,1,0,18,2022,5,7,7,13.30625,8,8,14.545,15.5,2.8,-4.06,Graduate
1,1,21,Equiniculture,1,3,14,0,20,2018,5,5,4,12.5,5,4,12.25,10.8,1.4,1.74,Graduate
1,1,1,Basic Education,1,13,14,0,18,2018,5,7,6,11.66666667,7,6,13.5,16.2,0.3,-0.92,Enrolled
1,1,10,Animation and Multimedia Design,1,1,1,0,21,2018,3,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
1,1,1,Oral Hygiene,1,1,28,0,20,2020,5,7,7,11.4375,8,8,11.425,12.7,3.7,-1.7,Enrolled
1,1,1,Nursing,1,13,14,0,18,2020,5,8,7,12.85714286,8,7,12.85714286,12.7,3.7,-1.7,Graduate
1,1,19,Advertising and Marketing Management,1,1,28,0,19,2018,5,6,6,13.375,6,6,12.28571429,11.1,0.6,2.02,Graduate
1,1,1,Nursing,1,13,14,0,19,2022,3,7,6,13.29666667,8,7,14.11428571,11.1,0.6,2.02,Graduate
1,1,20,Social Service,1,13,28,0,18,2022,5,6,5,11.6,6,4,11,7.6,2.6,0.32,Enrolled
1,1,1,Social Service,1,13,28,0,21,2019,3,6,6,11.375,6,6,13.28571429,16.2,0.3,-0.92,Graduate
1,1,4,Veterinary Nursing,1,13,14,0,18,2018,5,5,5,12.66666667,5,4,13,9.4,-0.8,-3.12,Enrolled
1,1,3,Management,1,13,1,0,20,2018,5,5,5,12,5,5,12.33333333,16.2,0.3,-0.92,Graduate
1,1,14,Nursing,1,3,3,1,19,2019,5,7,6,12.93333333,7,6,13.71666667,16.2,0.3,-0.92,Enrolled
1,1,4,Agronomy,14,4,5,1,21,2022,5,6,5,11.85714286,6,5,10.57142857,16.2,0.3,-0.92,Enrolled
1,1,9,Communication Design,1,27,3,1,20,2020,3,6,6,12.83333333,6,4,13.4,8.9,1.4,3.51,Graduate
1,1,1,Management,1,1,1,1,18,2019,5,5,3,11.33333333,5,2,13.5,8.9,1.4,3.51,Enrolled
1,0,21,Social Service (evening attendance),1,13,1,0,19,2018,3,6,6,12.66666667,6,6,14.375,12.4,0.5,1.79,Graduate
1,0,12,Management (evening attendance),1,2,27,1,34,2021,3,5,5,12.4,5,5,13.42857143,13.9,-0.3,0.79,Graduate
1,1,1,Biofuel Production Technologies,1,23,27,1,37,2020,3,7,0,0,7,1,10,8.9,1.4,3.51,Dropout
1,1,13,Informatics Engineering,8,19,27,1,43,2021,3,5,0,0,5,0,0,7.6,2.6,0.32,Dropout
1,1,1,Management,1,22,27,0,55,2019,5,5,1,10,5,2,12,16.2,0.3,-0.92,Dropout
4,0,1,Management (evening attendance),1,13,14,0,39,2021,3,5,5,11,5,5,11.6,7.6,2.6,0.32,Graduate
1,1,1,Equiniculture,14,4,4,0,20,2022,3,6,3,11.66666667,6,3,12,12.4,0.5,1.79,Dropout
1,1,1,Journalism and Communication,1,3,3,0,18,2022,5,6,4,12.75,5,0,0,12.7,3.7,-1.7,Dropout
1,1,1,Management,1,3,14,0,22,2021,3,5,5,14.8,5,5,15.8,8.9,1.4,3.51,Graduate
1,1,1,Nursing,1,1,3,0,22,2021,5,7,5,13.928,8,7,14.34285714,11.1,0.6,2.02,Graduate
1,1,7,Journalism and Communication,1,1,28,0,20,2022,3,6,4,13,6,5,13.8,12.4,0.5,1.79,Dropout
1,0,1,Management (evening attendance),1,22,27,0,29,2020,5,5,0,0,5,0,0,16.2,0.3,-0.92,Dropout
1,0,5,Management (evening attendance),1,23,28,0,24,2021,5,5,2,11.5,5,3,14.33333333,7.6,2.6,0.32,Enrolled
1,1,9,Social Service,1,13,14,0,18,2019,3,6,6,11.66666667,6,5,13.2,11.1,0.6,2.02,Graduate
1,1,16,Nursing,1,22,14,0,22,2021,3,7,6,13.51666667,8,7,13.77142857,11.1,0.6,2.02,Graduate
1,0,1,Social Service (evening attendance),14,1,14,0,21,2019,3,6,6,11.5,6,6,13.28571429,12.4,0.5,1.79,Graduate
1,1,5,Social Service,1,22,28,0,19,2020,3,6,5,12.33333333,6,6,12.83333333,12.7,3.7,-1.7,Graduate
1,1,8,Tourism,1,13,28,0,24,2020,5,6,6,13.66666667,6,6,14.16666667,12.4,0.5,1.79,Graduate
1,1,4,Nursing,1,22,28,0,19,2022,5,8,6,11.83333333,8,6,11.83333333,9.4,-0.8,-3.12,Enrolled
1,1,16,Journalism and Communication,1,1,14,0,20,2020,5,6,4,14,6,3,11,9.4,-0.8,-3.12,Enrolled
1,1,1,Equiniculture,1,22,27,0,19,2018,5,5,5,14.71428571,5,5,15.8,7.6,2.6,0.32,Graduate
1,0,1,Management (evening attendance),1,23,28,0,27,2021,5,5,5,10.6,5,5,11,9.4,-0.8,-3.12,Dropout
1,1,4,Nursing,1,1,14,0,18,2021,3,7,7,13.04444444,8,8,13.595,15.5,2.8,-4.06,Graduate
2,1,3,Tourism,3,1,3,0,39,2018,3,6,0,0,6,0,0,12.4,0.5,1.79,Dropout
1,1,5,Equiniculture,15,3,3,0,27,2018,5,6,5,13,11,10,12.9,12.4,0.5,1.79,Dropout
1,1,1,Nursing,1,23,28,0,18,2022,3,8,8,14.935,8,8,14.935,9.4,-0.8,-3.12,Graduate
1,1,6,Animation and Multimedia Design,1,23,27,0,18,2018,3,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
1,1,8,Nursing,1,13,14,0,18,2019,3,7,6,13.13333333,8,7,12.22142857,16.2,0.3,-0.92,Graduate
1,1,14,Social Service,14,13,1,0,21,2019,3,6,6,12,6,6,12,13.9,-0.3,0.79,Graduate
1,1,1,Animation and Multimedia Design,1,1,27,1,19,2020,5,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
1,1,1,Communication Design,1,1,1,1,19,2022,5,6,5,11.4,6,1,10,10.8,1.4,1.74,Enrolled
1,1,1,Communication Design,1,1,1,1,24,2018,3,6,0,0,6,0,0,12.7,3.7,-1.7,Enrolled
4,1,1,Nursing,12,1,1,1,29,2019,3,7,5,11.9,8,5,11,13.9,-0.3,0.79,Dropout
1,1,4,Animation and Multimedia Design,1,13,14,1,19,2019,3,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
1,1,13,Agronomy,14,13,27,1,23,2020,5,6,6,12.57142857,6,6,12.42857143,8.9,1.4,3.51,Graduate
1,1,1,Management,1,1,28,1,19,2019,3,5,5,11.2,5,4,10.75,16.2,0.3,-0.92,Dropout
1,1,10,Tourism,1,13,27,1,26,2019,3,6,6,12,6,5,10.8,12.7,3.7,-1.7,Enrolled
1,1,1,Management,1,23,27,1,18,2018,5,5,0,0,5,0,0,7.6,2.6,0.32,Enrolled
1,1,19,Nursing,1,22,14,1,24,2019,5,7,7,11.975,8,8,13.75,13.9,-0.3,0.79,Graduate
1,1,12,Animation and Multimedia Design,1,13,14,1,19,2019,3,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
1,1,1,Tourism,1,23,27,1,18,2020,5,6,3,11.66666667,6,1,12,12.4,0.5,1.79,Dropout
1,1,1,Journalism and Communication,1,23,28,1,18,2019,3,6,6,12.33333333,6,3,12.33333333,10.8,1.4,1.74,Graduate
1,1,1,Management,1,13,14,1,18,2022,3,5,3,10.33333333,5,3,10.85714286,10.8,1.4,1.74,Dropout
1,1,11,Tourism,1,13,27,1,21,2018,5,6,4,10.5,6,1,11,9.4,-0.8,-3.12,Dropout
1,1,1,Journalism and Communication,1,1,14,1,19,2018,5,6,6,13.66666667,6,6,13.33333333,8.9,1.4,3.51,Graduate
1,1,1,Nursing,1,23,27,1,22,2019,5,7,7,14.84285714,8,8,15.05555556,16.2,0.3,-0.92,Graduate
2,0,13,Social Service (evening attendance),1,22,27,1,33,2021,5,6,6,12,6,6,11.66666667,10.8,1.4,1.74,Graduate
1,1,10,Basic Education,1,13,14,1,20,2019,3,6,5,12.2,6,5,12.2,10.8,1.4,1.74,Dropout
1,0,1,Management (evening attendance),2,3,3,1,35,2018,5,1,0,0,5,0,0,10.8,1.4,1.74,Dropout
1,1,14,Agronomy,4,3,3,1,24,2022,5,12,6,12.16666667,12,10,13.3,12.4,0.5,1.79,Dropout
1,1,16,Tourism,1,13,14,1,18,2019,3,5,5,12,5,3,11.33333333,12.7,3.7,-1.7,Enrolled
2,0,1,Social Service (evening attendance),1,22,27,0,33,2018,5,6,6,11,6,5,11,9.4,-0.8,-3.12,Graduate
1,1,12,Nursing,1,22,28,0,22,2018,5,8,7,13.08,8,7,13.08,10.8,1.4,1.74,Graduate
1,1,9,Advertising and Marketing Management,1,1,14,0,25,2022,3,5,4,10.5,5,5,11.6,9.4,-0.8,-3.12,Graduate
1,1,1,Communication Design,1,13,28,1,20,2020,5,6,6,10.66666667,6,5,11.2,7.6,2.6,0.32,Graduate
1,1,19,Management,1,23,27,1,23,2021,3,5,4,14,5,5,13.8,11.1,0.6,2.02,Enrolled
1,1,12,Informatics Engineering,1,23,14,1,18,2022,3,5,2,10,5,0,0,15.5,2.8,-4.06,Enrolled
1,1,1,Nursing,1,1,1,1,24,2020,3,7,0,0,7,0,0,13.9,-0.3,0.79,Dropout
1,1,1,Journalism and Communication,1,13,1,0,21,2022,5,6,6,14,6,6,13.5,8.9,1.4,3.51,Graduate
1,1,1,Equiniculture,1,1,1,0,26,2020,5,6,2,12,6,0,0,8.9,1.4,3.51,Dropout
2,1,1,Basic Education,8,22,24,0,39,2018,5,6,3,12.66666667,6,0,0,7.6,2.6,0.32,Dropout
2,0,16,Social Service (evening attendance),1,22,14,0,44,2022,3,8,8,11.875,6,6,12.33333333,12.7,3.7,-1.7,Graduate
1,1,9,Informatics Engineering,1,23,3,1,19,2022,3,5,5,14,5,3,13.25,13.9,-0.3,0.79,Enrolled
1,1,16,Journalism and Communication,1,22,1,0,18,2018,5,6,6,13.66666667,6,6,13.33333333,8.9,1.4,3.51,Graduate
1,1,8,Nursing,1,22,27,0,18,2018,3,7,7,13.75,8,8,14.47777778,12.4,0.5,1.79,Graduate
1,1,1,Veterinary Nursing,1,1,2,0,19,2019,5,5,5,14.2,5,5,13.8,12.7,3.7,-1.7,Enrolled
1,1,1,Nursing,1,3,3,0,19,2020,3,7,4,11.96,7,0,0,13.9,-0.3,0.79,Dropout
1,1,1,Veterinary Nursing,16,23,28,0,21,2018,5,10,8,12.875,9,5,13.4,8.9,1.4,3.51,Dropout
1,1,1,Animation and Multimedia Design,1,1,1,0,20,2018,3,0,0,0,0,0,0,16.2,0.3,-0.92,Graduate
2,0,1,Social Service (evening attendance),1,22,27,0,36,2019,5,6,0,0,6,0,0,9.4,-0.8,-3.12,Dropout
4,1,1,Agronomy,9,22,27,0,43,2020,5,18,18,14.63157895,13,13,14.23076923,15.5,2.8,-4.06,Graduate
1,1,9,Basic Education,1,13,14,0,19,2020,5,6,0,0,6,0,0,11.1,0.6,2.02,Dropout
1,1,1,Communication Design,1,3,1,0,20,2018,5,10,10,13,11,11,12.27272727,11.1,0.6,2.02,Graduate
1,1,1,Social Service,1,22,28,0,19,2020,5,6,0,0,6,0,0,16.2,0.3,-0.92,Dropout
1,1,16,Veterinary Nursing,1,1,1,0,20,2022,5,6,4,14.2,6,4,13.25,15.5,2.8,-4.06,Dropout
1,1,4,Nursing,1,3,4,0,20,2018,3,7,6,13.26666667,7,5,12.3,12.4,0.5,1.79,Dropout
1,1,17,Basic Education,1,13,1,0,20,2022,3,7,6,11.66666667,7,3,13,16.2,0.3,-0.92,Enrolled
1,1,11,Social Service,1,22,27,0,18,2018,5,6,6,13.85714286,6,6,15,13.9,-0.3,0.79,Graduate
1,1,12,Management,1,1,28,0,18,2022,5,5,3,13,5,3,11,8.9,1.4,3.51,Enrolled
1,1,7,Veterinary Nursing,1,13,14,0,19,2021,3,5,5,13.4,5,5,12.8,10.8,1.4,1.74,Graduate
1,1,16,Journalism and Communication,1,1,28,0,18,2020,3,6,6,12.66666667,6,6,12.57142857,10.8,1.4,1.74,Graduate
1,1,1,Nursing,1,22,27,0,18,2022,5,7,6,12.51666667,7,6,12.51666667,7.6,2.6,0.32,Dropout
1,1,16,Nursing,1,23,28,0,20,2021,5,7,6,11.61666667,7,7,13,13.9,-0.3,0.79,Enrolled
1,1,2,Social Service,1,13,27,0,20,2019,5,6,2,10,6,4,10.75,7.6,2.6,0.32,Enrolled
1,1,6,Management,1,13,14,0,20,2022,5,5,3,10.33333333,5,3,10.66666667,12.4,0.5,1.79,Enrolled
1,1,1,Veterinary Nursing,1,22,28,0,18,2021,5,5,5,13.14285714,5,5,11.4,9.4,-0.8,-3.12,Graduate
